current_rating,previous_warnings,trips_count,sentiment_pred,sentiment_confidence,category_pred,category_confidence,decision
4.26,1,512,2,0.85,1,0.95,3
3.93,1,522,2,0.92,4,0.86,2
4.69,0,832,2,0.84,0,0.73,0
3.39,1,656,2,0.83,4,0.65,2
4.21,1,985,2,0.67,4,0.91,2
4.36,1,971,2,0.62,1,0.77,3
4.96,1,14,0,0.61,2,0.61,0
3.55,0,409,2,0.91,4,0.69,2
4.81,0,147,2,0.79,2,0.83,3
3.18,3,431,0,0.62,2,0.75,0
4.99,1,489,0,0.62,4,0.87,1
4.66,0,602,2,0.94,2,0.65,3
4.47,0,419,2,0.88,4,0.9,2
4.06,0,282,2,0.75,4,0.79,2
4.97,1,441,0,0.83,1,0.92,1
4.9,0,306,2,0.97,2,0.84,3
4.44,1,993,2,0.85,0,0.72,0
3.54,3,661,2,0.9,2,0.95,4
4.46,1,687,2,0.72,2,0.91,3
4.34,2,392,2,0.73,0,0.82,4
3.99,3,217,2,0.88,3,0.74,4
4.89,0,117,0,0.83,2,0.72,1
3.65,1,441,2,0.82,4,0.91,2
3.25,1,151,2,0.78,2,0.79,4
2.75,0,959,2,0.86,4,0.64,2
3.78,3,710,2,0.8,0,0.79,4
4.33,3,982,1,0.61,1,0.91,0
3.61,0,425,2,0.94,3,0.97,4
4.36,1,455,2,0.76,2,0.71,3
2.52,2,216,2,0.7,3,0.8,4
4.26,3,198,1,0.96,4,0.99,0
4.84,0,68,0,0.78,3,0.96,1
3.22,1,541,2,0.79,4,0.84,2
4.48,1,40,2,0.77,4,0.76,2
3.36,3,941,2,0.66,2,0.79,4
4.83,0,976,0,0.74,2,0.94,1
4.11,0,354,2,0.95,4,0.83,2
4.44,1,264,2,0.84,3,0.95,0
4.94,0,531,0,0.64,4,0.93,1
4.34,1,881,2,0.94,1,0.68,3
2.57,1,891,2,0.81,4,0.73,2
2.88,1,602,1,0.83,4,0.63,0
2.71,1,926,2,0.75,1,0.84,4
2.65,1,848,1,0.89,1,0.67,0
4.56,2,60,2,0.93,3,0.93,4
4.5,1,301,2,0.66,0,0.93,0
4.57,0,430,2,0.68,4,0.63,2
4.99,1,520,0,0.74,0,0.67,1
3.73,1,924,2,0.84,3,0.78,0
4.9,1,429,0,0.86,2,0.72,1
4.88,0,78,0,0.84,1,0.7,1
2.66,1,743,2,0.91,2,0.67,4
2.52,0,86,2,0.87,4,0.98,2
2.92,3,157,2,0.83,0,0.99,4
4.9,0,872,0,0.8,2,0.64,1
2.82,0,70,2,0.78,2,0.87,3
4.91,0,583,0,0.64,1,0.6,1
3.0,2,609,2,0.99,3,0.66,4
4.89,0,132,0,0.98,2,0.74,1
4.96,0,460,0,0.81,4,0.69,1
3.83,3,182,1,0.63,0,0.86,0
3.75,0,922,2,0.65,1,0.8,3
3.96,0,559,2,0.78,1,0.85,3
4.59,1,137,2,0.78,0,0.72,0
2.62,2,427,0,0.87,1,0.69,0
2.67,2,482,2,0.94,3,0.79,4
4.99,0,829,0,0.89,2,0.87,1
3.76,1,899,2,0.9,2,0.61,4
4.01,0,371,2,0.85,1,0.81,3
4.95,0,382,0,0.66,0,0.69,1
3.52,1,271,2,0.96,4,0.91,2
4.02,3,89,0,0.64,4,0.78,0
4.89,0,803,0,0.63,4,0.85,1
4.9,0,643,0,0.85,1,0.69,1
4.85,0,356,0,0.67,2,0.75,1
3.05,1,593,2,0.88,1,0.85,4
3.98,3,254,1,0.64,1,0.61,0
2.94,0,232,2,0.94,2,0.68,3
3.94,1,310,2,0.74,1,0.82,4
4.97,0,770,0,0.79,1,0.88,1
2.65,2,538,2,0.9,4,0.76,4
3.01,2,915,1,0.88,3,0.77,0
4.75,1,27,2,0.79,4,0.96,2
4.86,0,805,0,0.6,3,0.84,1
4.12,0,952,2,0.89,4,0.96,2
4.83,1,966,0,0.63,0,0.88,1
4.99,0,199,0,0.78,4,0.76,1
4.83,0,880,0,0.84,4,0.9,1
3.71,0,828,2,0.88,3,0.71,4
3.64,0,267,2,0.73,2,0.85,3
4.08,1,731,2,0.69,2,0.61,3
4.11,1,544,2,0.69,1,0.73,3
4.14,3,169,2,0.63,3,0.99,4
3.95,0,853,2,0.82,0,0.8,0
4.82,0,687,0,0.62,1,0.72,1
4.93,0,817,0,0.83,1,0.75,1
3.68,3,272,2,0.75,2,0.61,4
2.98,0,670,2,0.77,2,0.86,3
3.97,0,563,2,0.73,1,0.97,3
4.39,1,148,2,0.61,2,0.92,3
4.37,2,387,1,0.95,0,0.9,0
3.36,0,254,2,0.78,4,0.9,2
3.84,1,553,2,0.82,4,0.96,2
2.76,3,963,2,0.97,1,0.91,4
4.42,1,454,2,0.94,2,0.96,3
4.8,0,187,0,0.71,2,0.86,1
4.96,3,26,0,0.74,1,0.72,0
4.24,1,934,2,0.97,1,0.8,3
4.48,2,487,2,0.62,1,0.7,4
4.87,0,193,0,0.9,3,0.68,1
3.46,1,320,2,0.98,4,0.8,2
4.16,1,87,2,0.71,2,0.78,3
2.91,0,353,2,0.87,4,0.71,2
4.19,0,949,1,0.7,1,0.73,0
4.38,3,755,2,0.66,4,0.67,4
4.34,0,836,2,0.85,4,0.71,2
4.06,0,387,2,0.92,1,0.7,3
2.83,1,147,2,0.65,0,0.94,0
4.99,0,426,0,0.85,2,0.69,1
3.07,0,74,2,0.76,4,0.73,2
3.8,0,280,2,0.82,1,0.84,3
2.87,1,260,2,0.92,4,0.89,2
3.84,0,457,2,0.88,1,0.89,3
3.67,0,814,2,0.95,4,0.99,2
4.82,0,653,0,0.74,1,0.63,1
3.44,0,399,2,0.79,4,0.8,2
